[2026-03-01 11:26:33.178] [debug] Election timeout: 2000ms
[2026-03-01 11:26:33.179] [info] Cluster peers:
[2026-03-01 11:26:33.179] [info] 127.0.0.1:8001
[2026-03-01 11:26:33.179] [info] 127.0.0.1:8002
[2026-03-01 11:26:33.179] [warning] --------------------------------total_nodes_count_: 1
[ERROR] ZK handle is null, call start first!
[ERROR] ZK handle is null, call start first!
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] ZK node already exists, skip create: [{}]
[2026-03-01 11:26:33.186] [info] ------------------------------------Raft node 0 started on 127.0.0.1:8000------------------------------------
[2026-03-01 11:26:33.186] [debug] Raft node 0 initialized on 127.0.0.1:8000
[2026-03-01 11:26:33.188] [info] ------------------------------client runing ----------------------------
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] Refresh service cache for path: {}, node count: {}
[2026-03-01 11:26:35.685] [error] Failed to connect to peer: 127.0.0.1:8001
[2026-03-01 11:26:35.686] [info] 连接成功: 127.0.0.1:8002
[2026-03-01 11:26:35.686] [debug] Connected to peer: 127.0.0.1:8002
[2026-03-01 11:26:35.686] [info] ------------------------------------Into run_election_timeout------------------------------------
[2026-03-01 11:26:37.726] [error] Node 0 became candidate at term 1
[2026-03-01 11:26:37.726] [info] ------------------------------------Vote begain--------------------------------------
[2026-03-01 11:26:37.726] [info] 连接成功: 127.0.0.1:8001
[2026-03-01 11:26:37.727] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-03-01 11:26:37.727] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-03-01 11:26:37.727] [info] ----------------------total_nodes_count_: 3, vote_count: 3-------------------
[2026-03-01 11:26:37.727] [error] Node 0 became leader at term 1.
[2026-03-01 11:26:37.727] [info] Node 0 starting heartbeat thread for term 1.
[2026-03-01 11:26:53.255] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:53.873] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:53.874] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:54.492] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:54.492] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:55.112] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:55.113] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:55.731] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:55.731] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:56.349] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:56.349] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:56.967] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:56.968] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:57.590] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:57.591] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:58.216] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:58.217] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:58.844] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:58.845] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:59.463] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:59.464] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:27:01.099] [error] Failed: Request Timeout 
When append_entries on node0 : 127.0.0.1:8001
[2026-03-01 11:27:01.099] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:27:02.717] [error] Failed: Request Timeout 
When append_entries on node0 : 127.0.0.1:8002
[2026-03-01 11:27:07.692] [info] 连接成功: 127.0.0.1:8001
[2026-03-01 11:27:07.692] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:27:08.310] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:27:08.928] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:27:09.549] [debug] Heartbeat to node 1 Reply term: 1 Success: true
